AREAP;cor;value
1302603005032;amarela;0.012304189928993441
1302603005033;amarela;0.0065475461999755236
1302603005001;parda;0.7470743341332622
1302603005002;parda;0.745191301535359
1302603005003;parda;0.7051341999438885
1302603005004;parda;0.6980562295600802
1302603005005;parda;0.6638023131589949
1302603005006;parda;0.7448889395797097
1302603005007;parda;0.6628885128162794
1302603005008;parda;0.5157528870949658
1302603005009;parda;0.7286238908064999
1302603005010;parda;0.6475314617618587
1302603005011;parda;0.5903094140882159
1302603005012;parda;0.524671557278737
1302603005013;parda;0.6622159358793022
1302603005014;parda;0.6677651725043017
1302603005015;parda;0.6136229905618189
1302603005016;parda;0.677515439146925
1302603005017;parda;0.7119681452243919
1302603005018;parda;0.6624612202688728
1302603005019;parda;0.6874050706858278
1302603005020;parda;0.6861148463568902
1302603005021;parda;0.5896918790802113
1302603005022;parda;0.5092971950835172
1302603005023;parda;0.707385090383945
1302603005024;parda;0.6620146873811404
1302603005025;parda;0.7484026976661639
1302603005026;parda;0.7315401982919407
1302603005027;parda;0.6938386491557224
1302603005028;parda;0.7319180602352358
1302603005029;parda;0.713472788512675
1302603005030;parda;0.6990677439403357
1302603005031;parda;0.6780750637840741
1302603005032;parda;0.7248631362133449
1302603005033;parda;0.6310733080406316
1302603005001;indigena;0.0046218113945427075
1302603005002;indigena;0.002606495310210993
1302603005003;indigena;0.0007715327784531936
1302603005004;indigena;0.0013055174596476422
1302603005005;indigena;0.0012696053385356186
1302603005006;indigena;0.0017393287901685153
1302603005007;indigena;0.0019647500722334587
1302603005008;indigena;0.0013454423141607804
1302603005009;indigena;0.002096237804781944
1302603005010;indigena;0.0010890609874152953
1302603005011;indigena;0.0018959842001316657
1302603005012;indigena;0.005801790745028033
1302603005013;indigena;0.003790664780763791
1302603005014;indigena;0.0043162530257516984
1302603005015;indigena;0.001318050227128298
1302603005016;indigena;0.004309060942433328
1302603005017;indigena;0.0008520109196501539
1302603005018;indigena;0.0012973582777098807
1302603005019;indigena;0.0017330685048876427
1302603005020;indigena;0.0008964589870013447
1302603005021;indigena;0.0023909518067279307
1302603005022;indigena;0.0012606366214938543
1302603005023;indigena;0.0028634032169712665
1302603005024;indigena;0.0022528453143743233
1302603005025;indigena;0.0011757919957405272
