"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente - percentual do total geral"
"Cód.","Município","Situação do domicílio","Ano x Sexo"
"Cód.","Município","Situação do domicílio","2000","2010"
"Cód.","Município","Situação do domicílio","Total","Total"
"3170206","Uberlândia (MG)","Urbana","97.56","97.23"
"3170305","Umburatiba (MG)","Urbana","55.81","57.60"
"3170404","Unaí (MG)","Urbana","79.32","80.36"
"3170438","União de Minas (MG)","Urbana","48.99","61.70"
"3170479","Uruana de Minas (MG)","Urbana","53.66","56.20"
"3170503","Urucânia (MG)","Urbana","68.13","77.21"
"3170529","Urucuia (MG)","Urbana","44.92","45.32"
"3170578","Vargem Alegre (MG)","Urbana","73.72","73.84"
"3170602","Vargem Bonita (MG)","Urbana","53.35","52.80"
"3170651","Vargem Grande do Rio Pardo (MG)","Urbana","44.36","51.15"
"3170701","Varginha (MG)","Urbana","95.57","96.73"
"3170750","Varjão de Minas (MG)","Urbana","74.22","82.94"
"3170800","Várzea da Palma (MG)","Urbana","87.33","87.44"
"3170909","Varzelândia (MG)","Urbana","44.50","46.58"
"3171006","Vazante (MG)","Urbana","78.87","80.71"
"3171030","Verdelândia (MG)","Urbana","51.36","57.06"
"3171071","Veredinha (MG)","Urbana","59.35","67.92"
"3171105","Veríssimo (MG)","Urbana","51.32","58.48"
"3171154","Vermelho Novo (MG)","Urbana","33.55","39.50"
"3171204","Vespasiano (MG)","Urbana","98.42","100.00"
"3171303","Viçosa (MG)","Urbana","92.19","93.19"
"3171402","Vieiras (MG)","Urbana","45.17","49.66"
"3171501","Mathias Lobato (MG)","Urbana","90.14","90.80"
"3171600","Virgem da Lapa (MG)","Urbana","43.03","50.22"
"3171709","Virgínia (MG)","Urbana","38.75","45.65"
"3171808","Virginópolis (MG)","Urbana","52.04","58.72"
"3171907","Virgolândia (MG)","Urbana","52.03","60.13"
"3172004","Visconde do Rio Branco (MG)","Urbana","79.42","82.71"
"3172103","Volta Grande (MG)","Urbana","70.69","74.99"
"3172202","Wenceslau Braz (MG)","Urbana","45.69","49.75"
"3200102","Afonso Cláudio (ES)","Urbana","44.87","51.00"
"3200136","Águia Branca (ES)","Urbana","24.39","32.05"
"3200169","Água Doce do Norte (ES)","Urbana","47.94","56.91"
"3200201","Alegre (ES)","Urbana","62.25","69.92"
"3200300","Alfredo Chaves (ES)","Urbana","41.23","46.90"
"3200359","Alto Rio Novo (ES)","Urbana","51.23","58.17"
"3200409","Anchieta (ES)","Urbana","68.89","75.98"
"3200508","Apiacá (ES)","Urbana","64.16","69.37"
"3200607","Aracruz (ES)","Urbana","84.25","87.31"
"3200706","Atílio Vivacqua (ES)","Urbana","48.70","62.09"
"3200805","Baixo Guandu (ES)","Urbana","70.73","77.41"
"3200904","Barra de São Francisco (ES)","Urbana","54.94","64.84"
"3201001","Boa Esperança (ES)","Urbana","67.03","72.11"
"3201100","Bom Jesus do Norte (ES)","Urbana","90.31","91.80"
"3201159","Brejetuba (ES)","Urbana","15.00","28.67"
"3201209","Cachoeiro de Itapemirim (ES)","Urbana","88.86","91.42"
"3201308","Cariacica (ES)","Urbana","96.51","96.82"
"3201407","Castelo (ES)","Urbana","53.57","62.79"
"3201506","Colatina (ES)","Urbana","81.00","88.02"
"3201605","Conceição da Barra (ES)","Urbana","72.92","79.35"
"3201704","Conceição do Castelo (ES)","Urbana","40.04","50.49"
"3201803","Divino de São Lourenço (ES)","Urbana","33.46","38.57"
"3201902","Domingos Martins (ES)","Urbana","19.05","24.31"
"3202009","Dores do Rio Preto (ES)","Urbana","51.47","55.45"
"3202108","Ecoporanga (ES)","Urbana","53.77","63.67"
"3202207","Fundão (ES)","Urbana","83.03","84.45"
"3202256","Governador Lindenberg (ES)","Urbana","...","38.88"
"3202306","Guaçuí (ES)","Urbana","75.29","80.43"
"3202405","Guarapari (ES)","Urbana","93.43","95.48"
"3202454","Ibatiba (ES)","Urbana","55.16","59.81"
"3202504","Ibiraçu (ES)","Urbana","73.00","75.74"
"3202553","Ibitirama (ES)","Urbana","28.34","35.47"
"3202603","Iconha (ES)","Urbana","41.75","58.11"
"3202652","Irupi (ES)","Urbana","34.16","37.85"
"3202702","Itaguaçu (ES)","Urbana","48.55","56.98"
"3202801","Itapemirim (ES)","Urbana","57.37","62.38"
"3202900","Itarana (ES)","Urbana","30.42","37.63"
"3203007","Iúna (ES)","Urbana","53.14","57.16"
"3203056","Jaguaré (ES)","Urbana","54.76","60.92"
"3203106","Jerônimo Monteiro (ES)","Urbana","66.05","78.45"
"3203130","João Neiva (ES)","Urbana","68.52","80.66"
"3203163","Laranja da Terra (ES)","Urbana","26.09","32.59"
"3203205","Linhares (ES)","Urbana","82.51","86.03"
"3203304","Mantenópolis (ES)","Urbana","60.40","63.52"
"3203320","Marataízes (ES)","Urbana","77.63","80.88"
"3203346","Marechal Floriano (ES)","Urbana","43.24","52.03"
"3203353","Marilândia (ES)","Urbana","40.11","50.85"
"3203403","Mimoso do Sul (ES)","Urbana","50.70","62.67"
"3203502","Montanha (ES)","Urbana","74.91","75.76"
"3203601","Mucurici (ES)","Urbana","53.73","63.48"
"3203700","Muniz Freire (ES)","Urbana","36.62","47.13"
"3203809","Muqui (ES)","Urbana","63.22","64.66"
"3203908","Nova Venécia (ES)","Urbana","63.68","66.98"
"3204005","Pancas (ES)","Urbana","43.34","46.87"
"3204054","Pedro Canário (ES)","Urbana","91.94","92.68"
"3204104","Pinheiros (ES)","Urbana","65.53","78.33"
"3204203","Piúma (ES)","Urbana","94.09","96.28"
"3204252","Ponto Belo (ES)","Urbana","77.71","80.07"
"3204302","Presidente Kennedy (ES)","Urbana","26.48","33.35"
"3204351","Rio Bananal (ES)","Urbana","26.63","38.72"
"3204401","Rio Novo do Sul (ES)","Urbana","51.28","52.50"
"3204500","Santa Leopoldina (ES)","Urbana","19.79","21.36"
"3204559","Santa Maria de Jetibá (ES)","Urbana","17.73","34.52"
"3204609","Santa Teresa (ES)","Urbana","47.11","53.92"
"3204658","São Domingos do Norte (ES)","Urbana","36.23","42.96"
"3204708","São Gabriel da Palha (ES)","Urbana","69.07","76.35"
"3204807","São José do Calçado (ES)","Urbana","66.40","80.23"
"3204906","São Mateus (ES)","Urbana","76.28","77.54"
"3204955","São Roque do Canaã (ES)","Urbana","42.77","49.53"
"3205002","Serra (ES)","Urbana","99.51","99.31"
"3205010","Sooretama (ES)","Urbana","62.50","70.77"
"3205036","Vargem Alta (ES)","Urbana","28.33","35.14"
"3205069","Venda Nova do Imigrante (ES)","Urbana","61.32","72.43"
"3205101","Viana (ES)","Urbana","92.79","91.74"
"3205150","Vila Pavão (ES)","Urbana","23.33","34.57"
"3205176","Vila Valério (ES)","Urbana","29.50","36.46"
"3205200","Vila Velha (ES)","Urbana","99.61","99.51"
"3205309","Vitória (ES)","Urbana","100.00","100.00"
"3300100","Angra dos Reis (RJ)","Urbana","95.85","96.33"
"3300159","Aperibé (RJ)","Urbana","85.33","86.93"
"3300209","Araruama (RJ)","Urbana","90.68","95.07"
"3300225","Areal (RJ)","Urbana","90.45","86.87"
"3300233","Armação dos Búzios (RJ)","Urbana","100.00","100.00"
"3300258","Arraial do Cabo (RJ)","Urbana","100.00","100.00"
"3300308","Barra do Piraí (RJ)","Urbana","95.83","97.02"
"3300407","Barra Mansa (RJ)","Urbana","96.71","99.09"
"3300456","Belford Roxo (RJ)","Urbana","100.00","100.00"
"3300506","Bom Jardim (RJ)","Urbana","49.96","60.26"
"3300605","Bom Jesus do Itabapoana (RJ)","Urbana","81.49","84.51"
"3300704","Cabo Frio (RJ)","Urbana","83.76","75.44"
"3300803","Cachoeiras de Macacu (RJ)","Urbana","84.70","86.50"
"3300902","Cambuci (RJ)","Urbana","67.80","76.16"
"3300936","Carapebus (RJ)","Urbana","79.33","78.91"
"3300951","Comendador Levy Gasparian (RJ)","Urbana","92.25","96.11"
"3301009","Campos dos Goytacazes (RJ)","Urbana","89.48","90.29"
"3301108","Cantagalo (RJ)","Urbana","69.06","70.71"
"3301157","Cardoso Moreira (RJ)","Urbana","63.84","69.50"
"3301207","Carmo (RJ)","Urbana","72.31","77.26"
"3301306","Casimiro de Abreu (RJ)","Urbana","82.78","80.69"
"3301405","Conceição de Macabu (RJ)","Urbana","88.07","86.45"
"3301504","Cordeiro (RJ)","Urbana","95.46","97.22"
"3301603","Duas Barras (RJ)","Urbana","58.28","70.78"
"3301702","Duque de Caxias (RJ)","Urbana","99.60","99.66"
"3301801","Engenheiro Paulo de Frontin (RJ)","Urbana","72.07","71.94"
"3301850","Guapimirim (RJ)","Urbana","67.44","96.63"
"3301876","Iguaba Grande (RJ)","Urbana","100.00","100.00"
"3301900","Itaboraí (RJ)","Urbana","94.55","98.81"
"3302007","Itaguaí (RJ)","Urbana","95.37","95.52"
"3302056","Italva (RJ)","Urbana","70.05","72.83"
"3302106","Itaocara (RJ)","Urbana","69.24","75.66"
"3302205","Itaperuna (RJ)","Urbana","89.23","92.20"
"3302254","Itatiaia (RJ)","Urbana","47.41","96.63"
"3302270","Japeri (RJ)","Urbana","100.00","100.00"
"3302304","Laje do Muriaé (RJ)","Urbana","71.11","75.29"
"3302403","Macaé (RJ)","Urbana","95.13","98.13"
"3302452","Macuco (RJ)","Urbana","80.33","87.17"
"3302502","Magé (RJ)","Urbana","94.18","94.68"
"3302601","Mangaratiba (RJ)","Urbana","79.76","88.11"
"3302700","Maricá (RJ)","Urbana","82.62","98.45"
"3302809","Mendes (RJ)","Urbana","99.04","98.70"
"3302858","Mesquita (RJ)","Urbana","...","100.00"
"3302908","Miguel Pereira (RJ)","Urbana","84.01","87.25"
"3303005","Miracema (RJ)","Urbana","88.84","92.17"
"3303104","Natividade (RJ)","Urbana","77.63","79.87"
"3303203","Nilópolis (RJ)","Urbana","100.00","100.00"
"3303302","Niterói (RJ)","Urbana","100.00","100.00"
"3303401","Nova Friburgo (RJ)","Urbana","87.56","87.53"
"3303500","Nova Iguaçu (RJ)","Urbana","100.00","98.91"
"3303609","Paracambi (RJ)","Urbana","91.09","88.54"
"3303708","Paraíba do Sul (RJ)","Urbana","87.38","88.00"
"3303807","Paraty (RJ)","Urbana","47.61","73.77"
"3303856","Paty do Alferes (RJ)","Urbana","67.21","70.51"
"3303906","Petrópolis (RJ)","Urbana","94.46","95.06"
"3303955","Pinheiral (RJ)","Urbana","90.71","89.84"
"3304003","Piraí (RJ)","Urbana","81.70","79.18"
"3304102","Porciúncula (RJ)","Urbana","75.34","78.21"
"3304110","Porto Real (RJ)","Urbana","94.15","99.43"
"3304128","Quatis (RJ)","Urbana","87.72","94.03"
"3304144","Queimados (RJ)","Urbana","100.00","100.00"
"3304151","Quissamã (RJ)","Urbana","56.30","64.20"
"3304201","Resende (RJ)","Urbana","91.79","93.79"
"3304300","Rio Bonito (RJ)","Urbana","65.30","74.27"
"3304409","Rio Claro (RJ)","Urbana","71.58","79.02"
"3304508","Rio das Flores (RJ)","Urbana","70.35","69.61"
"3304524","Rio das Ostras (RJ)","Urbana","94.87","94.54"
"3304557","Rio de Janeiro (RJ)","Urbana","100.00","100.00"
"3304607","Santa Maria Madalena (RJ)","Urbana","52.79","57.48"
"3304706","Santo Antônio de Pádua (RJ)","Urbana","76.02","76.62"
"3304755","São Francisco de Itabapoana (RJ)","Urbana","46.73","51.00"
"3304805","São Fidélis (RJ)","Urbana","72.07","79.05"
"3304904","São Gonçalo (RJ)","Urbana","100.00","99.93"
"3305000","São João da Barra (RJ)","Urbana","70.92","78.46"
"3305109","São João de Meriti (RJ)","Urbana","100.00","100.00"
"3305133","São José de Ubá (RJ)","Urbana","36.27","44.24"
"3305158","São José do Vale do Rio Preto (RJ)","Urbana","46.72","44.48"
"3305208","São Pedro da Aldeia (RJ)","Urbana","82.47","93.48"
"3305307","São Sebastião do Alto (RJ)","Urbana","43.76","51.85"
"3305406","Sapucaia (RJ)","Urbana","70.88","75.74"
"3305505","Saquarema (RJ)","Urbana","96.11","94.91"
"3305554","Seropédica (RJ)","Urbana","79.52","82.22"
"3305604","Silva Jardim (RJ)","Urbana","66.85","75.51"
"3305703","Sumidouro (RJ)","Urbana","16.46","36.51"
"3305752","Tanguá (RJ)","Urbana","86.15","89.25"
"3305802","Teresópolis (RJ)","Urbana","83.43","89.29"
"3305901","Trajano de Moraes (RJ)","Urbana","36.70","46.46"
"3306008","Três Rios (RJ)","Urbana","93.57","97.07"
"3306107","Valença (RJ)","Urbana","86.45","86.61"
"3306156","Varre-Sai (RJ)","Urbana","52.61","61.11"
"3306206","Vassouras (RJ)","Urbana","63.23","67.42"
"3306305","Volta Redonda (RJ)","Urbana","99.97","99.95"
"3500105","Adamantina (SP)","Urbana","90.66","94.53"
"3500204","Adolfo (SP)","Urbana","83.36","89.96"
"3500303","Aguaí (SP)","Urbana","87.63","90.21"
"3500402","Águas da Prata (SP)","Urbana","85.19","89.28"
"3500501","Águas de Lindóia (SP)","Urbana","95.51","99.10"
"3500550","Águas de Santa Bárbara (SP)","Urbana","74.23","76.04"
"3500600","Águas de São Pedro (SP)","Urbana","100.00","100.00"
"3500709","Agudos (SP)","Urbana","94.48","95.57"
"3500758","Alambari (SP)","Urbana","66.96","75.18"
"3500808","Alfredo Marcondes (SP)","Urbana","72.27","83.65"
"3500907","Altair (SP)","Urbana","72.24","79.21"
"3501004","Altinópolis (SP)","Urbana","81.05","87.37"
"3501103","Alto Alegre (SP)","Urbana","70.80","78.84"
"3501152","Alumínio (SP)","Urbana","90.00","83.87"
"3501202","Álvares Florence (SP)","Urbana","61.49","67.95"
"3501301","Álvares Machado (SP)","Urbana","88.68","90.09"
"3501400","Álvaro de Carvalho (SP)","Urbana","59.31","63.48"
"3501509","Alvinlândia (SP)","Urbana","85.69","89.77"
"3501608","Americana (SP)","Urbana","99.76","99.53"
"3501707","Américo Brasiliense (SP)","Urbana","97.72","99.24"
"3501806","Américo de Campos (SP)","Urbana","78.44","83.91"
"3501905","Amparo (SP)","Urbana","71.78","78.71"
"3502002","Analândia (SP)","Urbana","73.98","79.39"
"3502101","Andradina (SP)","Urbana","92.16","93.34"
"3502200","Angatuba (SP)","Urbana","68.61","71.83"
"3502309","Anhembi (SP)","Urbana","72.00","75.55"
"3502408","Anhumas (SP)","Urbana","73.50","81.84"
"3502507","Aparecida (SP)","Urbana","98.50","98.55"
"3502606","Aparecida d'Oeste (SP)","Urbana","74.27","81.91"
"3502705","Apiaí (SP)","Urbana","61.29","72.32"
"3502754","Araçariguama (SP)","Urbana","64.91","100.00"
"3502804","Araçatuba (SP)","Urbana","97.16","98.07"
"3502903","Araçoiaba da Serra (SP)","Urbana","69.03","68.74"
"3503000","Aramina (SP)","Urbana","87.02","93.48"
"3503109","Arandu (SP)","Urbana","66.31","75.36"
"3503158","Arapeí (SP)","Urbana","72.54","75.21"
"3503208","Araraquara (SP)","Urbana","95.12","97.16"
"3503307","Araras (SP)","Urbana","93.92","94.62"
"3503356","Arco-Íris (SP)","Urbana","49.38","56.99"
"3503406","Arealva (SP)","Urbana","72.40","78.77"
"3503505","Areias (SP)","Urbana","68.11","67.05"
"3503604","Areiópolis (SP)","Urbana","83.14","88.86"
"3503703","Ariranha (SP)","Urbana","92.07","94.70"
"3503802","Artur Nogueira (SP)","Urbana","91.97","90.54"
"3503901","Arujá (SP)","Urbana","95.68","96.01"
"3503950","Aspásia (SP)","Urbana","63.14","69.49"
"3504008","Assis (SP)","Urbana","95.57","95.64"
"3504107","Atibaia (SP)","Urbana","87.04","91.02"
"3504206","Auriflama (SP)","Urbana","87.97","91.17"
"3504305","Avaí (SP)","Urbana","69.54","67.15"
"3504404","Avanhandava (SP)","Urbana","91.74","84.55"
"3504503","Avaré (SP)","Urbana","94.66","95.73"
"3504602","Bady Bassitt (SP)","Urbana","88.95","93.54"
"3504701","Balbinos (SP)","Urbana","80.88","32.17"
"3504800","Bálsamo (SP)","Urbana","86.35","91.59"
"3504909","Bananal (SP)","Urbana","73.99","79.79"
"3505005","Barão de Antonina (SP)","Urbana","58.98","61.39"
"3505104","Barbosa (SP)","Urbana","83.52","84.56"
"3505203","Bariri (SP)","Urbana","92.30","94.88"
"3505302","Barra Bonita (SP)","Urbana","97.32","97.90"
"3505351","Barra do Chapéu (SP)","Urbana","29.88","29.44"
"3505401","Barra do Turvo (SP)","Urbana","35.52","41.07"
"3505500","Barretos (SP)","Urbana","95.14","96.95"
"3505609","Barrinha (SP)","Urbana","98.91","98.89"
"3505708","Barueri (SP)","Urbana","100.00","100.00"
"3505807","Bastos (SP)","Urbana","82.77","86.12"
"3505906","Batatais (SP)","Urbana","94.47","88.44"
"3506003","Bauru (SP)","Urbana","98.22","98.33"
"3506102","Bebedouro (SP)","Urbana","93.52","95.29"
"3506201","Bento de Abreu (SP)","Urbana","81.37","91.40"
"3506300","Bernardino de Campos (SP)","Urbana","87.00","89.63"
"3506359","Bertioga (SP)","Urbana","97.13","98.37"
"3506409","Bilac (SP)","Urbana","88.24","91.96"
"3506508","Birigui (SP)","Urbana","96.52","97.02"
"3506607","Biritiba Mirim (SP)","Urbana","84.28","85.83"
"3506706","Boa Esperança do Sul (SP)","Urbana","85.52","89.29"
"3506805","Bocaina (SP)","Urbana","90.51","92.14"
"3506904","Bofete (SP)","Urbana","71.11","63.76"
"3507001","Boituva (SP)","Urbana","94.67","94.07"
"3507100","Bom Jesus dos Perdões (SP)","Urbana","84.30","88.17"
"3507159","Bom Sucesso de Itararé (SP)","Urbana","60.48","68.05"
"3507209","Borá (SP)","Urbana","78.36","77.89"
"3507308","Boracéia (SP)","Urbana","87.80","89.67"
"3507407","Borborema (SP)","Urbana","82.24","90.13"
"3507456","Borebi (SP)","Urbana","76.46","87.22"
"3507506","Botucatu (SP)","Urbana","96.02","96.35"
"3507605","Bragança Paulista (SP)","Urbana","88.85","96.94"
"3507704","Braúna (SP)","Urbana","77.94","87.43"
"3507753","Brejo Alegre (SP)","Urbana","77.17","82.01"
"3507803","Brodowski (SP)","Urbana","95.02","97.58"
"3507902","Brotas (SP)","Urbana","85.39","86.19"
"3508009","Buri (SP)","Urbana","77.46","80.76"
"3508108","Buritama (SP)","Urbana","91.20","94.21"
"3508207","Buritizal (SP)","Urbana","79.01","81.57"
"3508306","Cabrália Paulista (SP)","Urbana","85.74","86.53"
"3508405","Cabreúva (SP)","Urbana","77.82","84.75"
"3508504","Caçapava (SP)","Urbana","87.67","85.56"
"3508603","Cachoeira Paulista (SP)","Urbana","79.66","81.66"
"3508702","Caconde (SP)","Urbana","64.30","68.18"
"3508801","Cafelândia (SP)","Urbana","82.67","86.87"
"3508900","Caiabu (SP)","Urbana","76.40","81.41"
"3509007","Caieiras (SP)","Urbana","96.15","97.52"
"3509106","Caiuá (SP)","Urbana","42.20","38.30"
"3509205","Cajamar (SP)","Urbana","94.73","97.99"
"3509254","Cajati (SP)","Urbana","71.84","73.03"
"3509304","Cajobi (SP)","Urbana","91.08","93.50"
"3509403","Cajuru (SP)","Urbana","88.56","88.98"
"3509452","Campina do Monte Alegre (SP)","Urbana","80.25","84.61"
"3509502","Campinas (SP)","Urbana","98.33","98.28"
"3509601","Campo Limpo Paulista (SP)","Urbana","97.70","100.00"
"3509700","Campos do Jordão (SP)","Urbana","99.00","99.38"
"3509809","Campos Novos Paulista (SP)","Urbana","71.47","77.73"
"3509908","Cananéia (SP)","Urbana","82.97","85.36"
"3509957","Canas (SP)","Urbana","84.14","92.82"
"3510005","Cândido Mota (SP)","Urbana","90.67","94.02"
"3510104","Cândido Rodrigues (SP)","Urbana","74.47","80.70"
"3510153","Canitar (SP)","Urbana","76.93","94.71"
"3510203","Capão Bonito (SP)","Urbana","78.29","81.91"
"3510302","Capela do Alto (SP)","Urbana","77.99","82.83"
"3510401","Capivari (SP)","Urbana","80.75","94.50"
"3510500","Caraguatatuba (SP)","Urbana","95.35","95.87"
"3510609","Carapicuíba (SP)","Urbana","100.00","100.00"
"3510708","Cardoso (SP)","Urbana","89.24","90.89"
"3510807","Casa Branca (SP)","Urbana","80.71","81.80"
"3510906","Cássia dos Coqueiros (SP)","Urbana","57.99","68.15"
"3511003","Castilho (SP)","Urbana","80.00","75.47"
"3511102","Catanduva (SP)","Urbana","98.51","99.20"
"3511201","Catiguá (SP)","Urbana","90.22","92.17"
"3511300","Cedral (SP)","Urbana","74.33","79.11"
"3511409","Cerqueira César (SP)","Urbana","86.22","89.64"
"3511508","Cerquilho (SP)","Urbana","94.88","94.83"
"3511607","Cesário Lange (SP)","Urbana","69.25","67.52"
"3511706","Charqueada (SP)","Urbana","89.89","90.73"
"3511904","Clementina (SP)","Urbana","91.75","95.31"
"3512001","Colina (SP)","Urbana","89.32","93.39"
"3512100","Colômbia (SP)","Urbana","69.20","72.27"
"3512209","Conchal (SP)","Urbana","89.51","94.49"
"3512308","Conchas (SP)","Urbana","75.66","81.02"
"3512407","Cordeirópolis (SP)","Urbana","91.34","89.82"
"3512506","Coroados (SP)","Urbana","74.89","80.99"
"3512605","Coronel Macedo (SP)","Urbana","71.77","77.28"
"3512704","Corumbataí (SP)","Urbana","45.28","54.03"
"3512803","Cosmópolis (SP)","Urbana","95.92","92.87"
"3512902","Cosmorama (SP)","Urbana","58.38","68.55"
"3513009","Cotia (SP)","Urbana","100.00","100.00"
"3513108","Cravinhos (SP)","Urbana","95.67","97.51"
"3513207","Cristais Paulista (SP)","Urbana","59.25","72.85"
"3513306","Cruzália (SP)","Urbana","61.07","66.40"
"3513405","Cruzeiro (SP)","Urbana","96.85","97.45"
"3513504","Cubatão (SP)","Urbana","99.40","100.00"
"3513603","Cunha (SP)","Urbana","48.22","55.64"
"3513702","Descalvado (SP)","Urbana","83.45","89.23"
"3513801","Diadema (SP)","Urbana","100.00","100.00"
"3513850","Dirce Reis (SP)","Urbana","66.24","75.73"
"3513900","Divinolândia (SP)","Urbana","57.22","66.92"
"3514007","Dobrada (SP)","Urbana","92.84","97.77"
"3514106","Dois Córregos (SP)","Urbana","89.83","94.69"
"3514205","Dolcinópolis (SP)","Urbana","84.11","92.99"
"3514304","Dourado (SP)","Urbana","91.09","91.40"
"3514403","Dracena (SP)","Urbana","91.74","92.34"
"3514502","Duartina (SP)","Urbana","86.44","89.76"
"3514601","Dumont (SP)","Urbana","93.07","96.45"
"3514700","Echaporã (SP)","Urbana","75.96","79.65"
"3514809","Eldorado (SP)","Urbana","49.34","49.21"
"3514908","Elias Fausto (SP)","Urbana","73.94","79.61"
"3514924","Elisiário (SP)","Urbana","84.98","91.60"
"3514957","Embaúba (SP)","Urbana","79.86","85.02"
"3515004","Embu das Artes (SP)","Urbana","100.00","100.00"
"3515103","Embu-Guaçu (SP)","Urbana","98.11","97.33"
"3515129","Emilianópolis (SP)","Urbana","75.73","82.68"
"3515152","Engenheiro Coelho (SP)","Urbana","69.86","73.14"
"3515186","Espírito Santo do Pinhal (SP)","Urbana","85.85","88.88"
"3515194","Espírito Santo do Turvo (SP)","Urbana","88.14","85.53"
"3515202","Estrela d'Oeste (SP)","Urbana","77.31","83.22"
"3515301","Estrela do Norte (SP)","Urbana","68.04","78.97"
"3515350","Euclides da Cunha Paulista (SP)","Urbana","62.96","63.76"
"3515400","Fartura (SP)","Urbana","75.81","79.88"
"3515509","Fernandópolis (SP)","Urbana","95.94","96.94"
"3515608","Fernando Prestes (SP)","Urbana","75.69","84.89"
"3515657","Fernão (SP)","Urbana","47.28","54.38"
"3515707","Ferraz de Vasconcelos (SP)","Urbana","99.18","95.51"
"3515806","Flora Rica (SP)","Urbana","72.03","80.94"
"3515905","Floreal (SP)","Urbana","76.61","81.22"
"3516002","Flórida Paulista (SP)","Urbana","80.88","78.90"
"3516101","Florínea (SP)","Urbana","84.33","88.79"
"3516200","Franca (SP)","Urbana","98.08","98.24"
"3516309","Francisco Morato (SP)","Urbana","99.88","99.80"
"3516408","Franco da Rocha (SP)","Urbana","92.85","92.13"
"3516507","Gabriel Monteiro (SP)","Urbana","75.31","83.35"
"3516606","Gália (SP)","Urbana","71.17","74.53"
"3516705","Garça (SP)","Urbana","84.30","90.90"
"3516804","Gastão Vidigal (SP)","Urbana","81.87","89.58"
"3516853","Gavião Peixoto (SP)","Urbana","66.63","80.90"
"3516903","General Salgado (SP)","Urbana","80.83","85.14"
"3517000","Getulina (SP)","Urbana","72.65","77.42"
"3517109","Glicério (SP)","Urbana","69.90","73.65"
"3517208","Guaiçara (SP)","Urbana","87.61","90.85"
"3517307","Guaimbê (SP)","Urbana","81.93","87.37"
"3517406","Guaíra (SP)","Urbana","93.25","96.40"
"3517505","Guapiaçu (SP)","Urbana","84.35","88.45"
"3517604","Guapiara (SP)","Urbana","38.22","40.19"
"3517703","Guará (SP)","Urbana","94.94","96.80"
"3517802","Guaraçaí (SP)","Urbana","75.14","78.89"
"3517901","Guaraci (SP)","Urbana","83.55","89.48"
"3518008","Guarani d'Oeste (SP)","Urbana","86.44","88.07"
"3518107","Guarantã (SP)","Urbana","76.67","85.29"
"3518206","Guararapes (SP)","Urbana","90.59","92.55"
"3518305","Guararema (SP)","Urbana","80.85","86.05"
"3518404","Guaratinguetá (SP)","Urbana","95.15","95.26"
"3518503","Guareí (SP)","Urbana","59.68","57.76"
"3518602","Guariba (SP)","Urbana","97.23","97.92"
"3518701","Guarujá (SP)","Urbana","99.97","99.98"
"3518800","Guarulhos (SP)","Urbana","97.85","100.00"
"3518859","Guatapará (SP)","Urbana","65.04","73.44"
"3518909","Guzolândia (SP)","Urbana","78.32","84.58"
"3519006","Herculândia (SP)","Urbana","85.42","91.09"
"3519055","Holambra (SP)","Urbana","54.61","72.43"
"3519071","Hortolândia (SP)","Urbana","100.00","100.00"
"3519105","Iacanga (SP)","Urbana","85.41","87.15"
"3519204","Iacri (SP)","Urbana","70.69","78.67"
"3519253","Iaras (SP)","Urbana","62.05","44.49"
"3519303","Ibaté (SP)","Urbana","94.90","96.01"
"3519402","Ibirá (SP)","Urbana","87.89","92.19"
"3519501","Ibirarema (SP)","Urbana","89.34","92.37"
"3519600","Ibitinga (SP)","Urbana","94.08","96.05"
"3519709","Ibiúna (SP)","Urbana","33.17","35.01"
"3519808","Icém (SP)","Urbana","84.86","85.82"
"3519907","Iepê (SP)","Urbana","82.10","88.79"
"3520004","Igaraçu do Tietê (SP)","Urbana","99.01","99.43"
"3520103","Igarapava (SP)","Urbana","92.72","94.31"
"3520202","Igaratá (SP)","Urbana","70.88","79.32"
"3520301","Iguape (SP)","Urbana","79.97","85.60"
"3520400","Ilhabela (SP)","Urbana","98.81","99.31"
"3520426","Ilha Comprida (SP)","Urbana","100.00","100.00"
"3520442","Ilha Solteira (SP)","Urbana","96.76","93.84"
"3520509","Indaiatuba (SP)","Urbana","98.43","98.99"
"3520608","Indiana (SP)","Urbana","82.34","85.53"
"3520707","Indiaporã (SP)","Urbana","78.56","86.57"
"3520806","Inúbia Paulista (SP)","Urbana","83.30","87.52"
"3520905","Ipaussu (SP)","Urbana","87.87","92.13"
"3521002","Iperó (SP)","Urbana","68.80","61.71"
"3521101","Ipeúna (SP)","Urbana","79.40","86.07"
"3521150","Ipiguá (SP)","Urbana","55.93","60.43"
"3521200","Iporanga (SP)","Urbana","45.51","55.85"
"3521309","Ipuã (SP)","Urbana","94.30","95.86"
"3521408","Iracemápolis (SP)","Urbana","95.21","97.94"
"3521507","Irapuã (SP)","Urbana","81.54","89.20"
"3521606","Irapuru (SP)","Urbana","75.49","70.70"
"3521705","Itaberá (SP)","Urbana","58.70","67.98"
"3521804","Itaí (SP)","Urbana","80.34","78.52"
"3521903","Itajobi (SP)","Urbana","76.37","83.42"
"3522000","Itaju (SP)","Urbana","62.32","72.74"
"3522109","Itanhaém (SP)","Urbana","98.82","99.06"
"3522158","Itaoca (SP)","Urbana","67.39","54.52"
