"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente - percentual do total geral"
"Cód.","Município","Situação do domicílio","Ano x Sexo"
"Cód.","Município","Situação do domicílio","2000","2010"
"Cód.","Município","Situação do domicílio","Total","Total"
"1400159","Bonfim (RR)","Urbana","32.17","33.91"
"1400175","Cantá (RR)","Urbana","13.48","16.24"
"1400209","Caracaraí (RR)","Urbana","57.65","59.30"
"1400233","Caroebe (RR)","Urbana","34.73","40.97"
"1400282","Iracema (RR)","Urbana","67.52","46.90"
"1400308","Mucajaí (RR)","Urbana","62.50","60.40"
"1400407","Normandia (RR)","Urbana","24.44","25.85"
"1400456","Pacaraima (RR)","Urbana","39.48","43.27"
"1400472","Rorainópolis (RR)","Urbana","41.31","43.96"
"1400506","São João da Baliza (RR)","Urbana","76.25","70.25"
"1400605","São Luiz (RR)","Urbana","64.90","66.00"
"1400704","Uiramutã (RR)","Urbana","9.05","13.59"
"1500107","Abaetetuba (PA)","Urbana","59.46","58.82"
"1500131","Abel Figueiredo (PA)","Urbana","82.21","89.00"
"1500206","Acará (PA)","Urbana","18.70","23.56"
"1500305","Afuá (PA)","Urbana","22.99","27.05"
"1500347","Água Azul do Norte (PA)","Urbana","12.80","19.46"
"1500404","Alenquer (PA)","Urbana","60.21","52.68"
"1500503","Almeirim (PA)","Urbana","55.71","59.39"
"1500602","Altamira (PA)","Urbana","80.43","84.88"
"1500701","Anajás (PA)","Urbana","25.18","38.35"
"1500800","Ananindeua (PA)","Urbana","99.76","99.75"
"1500859","Anapu (PA)","Urbana","32.77","47.87"
"1500909","Augusto Corrêa (PA)","Urbana","40.46","45.04"
"1500958","Aurora do Pará (PA)","Urbana","25.46","30.77"
"1501006","Aveiro (PA)","Urbana","19.20","20.06"
"1501105","Bagre (PA)","Urbana","32.06","44.67"
"1501204","Baião (PA)","Urbana","51.45","50.31"
"1501253","Bannach (PA)","Urbana","31.46","37.37"
"1501303","Barcarena (PA)","Urbana","43.89","36.35"
"1501402","Belém (PA)","Urbana","99.36","99.14"
"1501451","Belterra (PA)","Urbana","35.12","41.99"
"1501501","Benevides (PA)","Urbana","58.83","55.98"
"1501576","Bom Jesus do Tocantins (PA)","Urbana","47.15","53.33"
"1501600","Bonito (PA)","Urbana","26.31","28.08"
"1501709","Bragança (PA)","Urbana","60.32","64.14"
"1501725","Brasil Novo (PA)","Urbana","25.42","43.97"
"1501758","Brejo Grande do Araguaia (PA)","Urbana","57.01","58.88"
